iter	Passed	Remaining
459	796	935
460	797	932
461	801	933
462	802	931
463	804	928
464	805	926
465	806	924
466	808	922
467	809	920
468	810	917
469	812	915
470	813	913
471	815	912
472	817	910
473	818	908
474	819	906
475	821	904
476	822	902
477	823	899
478	825	897
479	827	896
480	828	893
481	829	891
482	830	889
483	831	886
484	832	884
485	833	881
486	834	879
487	835	876
488	836	874
489	838	872
490	839	870
491	840	867
492	841	865
493	842	863
494	843	860
495	847	861
496	848	859
497	849	856
498	851	854
499	852	852
500	853	850
501	854	847
502	855	845
503	856	843
504	857	840
505	858	838
506	862	838
507	863	835
508	864	833
509	864	831
510	865	828
511	866	826
512	867	823
513	868	821
514	869	818
515	870	816
516	871	813
517	872	811
518	873	809
519	877	809
520	878	807
521	879	805
522	880	802
523	881	800
524	882	798
525	883	796
526	884	793
527	885	791
528	886	789
529	887	786
530	887	784
531	891	784
532	892	782
533	893	780
534	894	777
535	896	775
536	896	773
537	897	771
538	898	768
539	899	766
540	900	764
541	902	762
542	903	760
543	904	757
544	905	755
545	906	753
546	907	751
547	908	749
548	909	747
549	910	745
550	911	742
551	912	740
552	913	738
553	914	736
554	915	734
555	917	732
556	918	730
557	919	728
558	920	726
559	921	724
560	922	721
561	923	719
562	924	717
563	925	715
564	926	713
565	927	711
566	928	708
567	929	706
568	930	704
569	931	702
570	932	700
571	934	699
572	935	697
573	936	694
574	937	692
575	938	690
576	939	688
577	940	686
578	941	684
579	942	682
580	943	680
581	944	678
582	945	676
583	947	674
584	949	673
585	951	672
586	952	670
587	953	667
588	954	665
589	955	663
590	956	662
591	957	660
592	959	658
593	960	656
594	961	654
595	962	652
596	963	650
597	965	648
598	966	646
599	967	644
600	969	643
601	970	641
602	972	640
603	973	638
604	974	636
605	978	636
606	981	635
607	982	633
608	983	631
609	984	629
610	986	627
611	987	625
612	988	623
613	989	621
614	990	620
615	991	618
616	993	616
617	994	615
618	996	613
619	997	611
620	999	610
621	1000	608
622	1003	607
623	1004	605
624	1005	603
625	1007	601
626	1010	601
627	1011	599
628	1013	597
629	1015	596
630	1017	594
631	1018	592
632	1019	591
633	1020	589
634	1022	587
635	1024	586
636	1027	585
637	1028	583
638	1077	608
639	1078	606
640	1079	604
641	1080	602
642	1081	600
643	1083	598
644	1084	596
645	1085	594
646	1086	592
647	1089	592
648	1091	590
649	1093	588
650	1094	586
651	1095	584
652	1096	582
653	1097	580
654	1098	578
655	1099	576
656	1100	574
657	1101	572
658	1102	570
659	1110	571
660	1127	578
661	1147	585
662	1148	583
663	1150	582
664	1151	580
665	1153	578
666	1155	576
667	1156	574
668	1157	572
669	1158	570
670	1160	568
671	1161	567
672	1162	565
673	1163	562
674	1164	560
675	1166	558
676	1169	557
677	1170	555
678	1171	553
679	1172	551
680	1173	549
681	1174	547
682	1175	545
683	1177	543
684	1178	541
685	1179	540
686	1181	538
